candidate,office,district,party,county,precinct,mail,election_day,votes
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1303,0,6,6
Patrick Little,U.S. Senate,,REP,Kings,1303,0,8,8
Tim Gildersleeve,U.S. Senate,,NON,Kings,1303,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1303,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1303,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1303,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1303,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1303,0,8,8
Erin Cruz,U.S. Senate,,REP,Kings,1303,0,31,31
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1303,0,7,7
Dianne Feinstein,U.S. Senate,,DEM,Kings,1303,0,31,31
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1303,0,1,1
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1303,0,4,4
Paul A Taylor,U.S. Senate,,REP,Kings,1303,0,35,35
Donnie O Turner,U.S. Senate,,DEM,Kings,1303,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1303,0,2,2
Alison Hartson,U.S. Senate,,DEM,Kings,1303,0,1,1
Jason M Hanania,U.S. Senate,,NON,Kings,1303,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1303,0,3,3
Lee Olson,U.S. Senate,,NON,Kings,1303,0,1,1
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1303,0,7,7
Kevin De Leon,U.S. Senate,,DEM,Kings,1303,0,16,16
Kevin Mottus,U.S. Senate,,REP,Kings,1303,0,8,8
David Moore,U.S. Senate,,NON,Kings,1303,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1303,0,5,5
Andy Vidak,State Senate,14,REP,Kings,1303,0,357,357
Ruben Macareno,State Senate,14,DEM,Kings,1303,0,11,11
Abigail Solis,State Senate,14,DEM,Kings,1303,0,10,10
Melissa Hurtado,State Senate,14,DEM,Kings,1303,0,23,23
Justin Mendes,State Assembly,32,REP,Kings,1303,0,342,342
Rudy Salas,State Assembly,32,DEM,Kings,1303,0,61,61
,Registered Voters,,,Kings,1304,,,138
,Ballots Cast,,,Kings,1304,0,44,44
Josh Jones,Governor,,GRN,Kings,1304,0,0,0
J Bribiesca,Governor,,DEM,Kings,1304,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1304,0,0,0
Peter Y Liu,Governor,,REP,Kings,1304,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1304,0,6,6
Yvonne Girard,Governor,,REP,Kings,1304,0,1,1
Robert Davidson Griffis,Governor,,DEM,Kings,1304,0,0,0
Shubham Goel,Governor,,NON,Kings,1304,0,0,0
Travis Allen,Governor,,REP,Kings,1304,0,15,15
Akinyemi Agbede,Governor,,DEM,Kings,1304,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1304,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1304,0,0,0
Desmond Silveira,Governor,,NON,Kings,1304,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1304,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1304,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1304,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1304,0,0,0
John Chiang,Governor,,DEM,Kings,1304,0,1,1
John H Cox,Governor,,REP,Kings,1304,0,11,11
Amanda Renteria,Governor,,DEM,Kings,1304,0,0,0
Delaine Eastin,Governor,,DEM,Kings,1304,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1304,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1304,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1304,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1304,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1304,0,8,8
"Robert C. Newman, II",Governor,,REP,Kings,1304,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1304,0,3,3
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1304,0,2,2
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1304,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1304,0,0,0
David Fennell,Lieutenant Governor,,REP,Kings,1304,0,6,6
Danny Thomas,Lieutenant Governor,,NON,Kings,1304,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1304,0,13,13
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1304,0,5,5
David R Hernandez,Lieutenant Governor,,REP,Kings,1304,0,4,4
Lydia Ortega,Lieutenant Governor,,REP,Kings,1304,0,4,4
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1304,0,0,0
Alex Padilla,Secretary of State,,DEM,Kings,1304,0,12,12
Gail K Lightfoot,Secretary of State,,LIB,Kings,1304,0,0,0
C T Weber,Secretary of State,,PF,Kings,1304,0,0,0
Erik Rydberg,Secretary of State,,GRN,Kings,1304,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1304,0,2,2
Michael Feinstein,Secretary of State,,GRN,Kings,1304,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1304,0,0,0
Mark P Meuser,Secretary of State,,REP,Kings,1304,0,27,27
Konstantinos Roditis,Controller,,REP,Kings,1304,0,23,23
Mary Lou Finley,Controller,,PF,Kings,1304,0,1,1
Betty T Yee,Controller,,DEM,Kings,1304,0,17,17
Vivek Viswanathan,Treasurer,,DEM,Kings,1304,0,3,3
Jack M Guerrero,Treasurer,,REP,Kings,1304,0,12,12
Kevin Akin,Treasurer,,PF,Kings,1304,0,0,0
Greg Conlon,Treasurer,,REP,Kings,1304,0,16,16
Fiona Ma,Treasurer,,DEM,Kings,1304,0,7,7
Dave Jones,Attorney General,,DEM,Kings,1304,0,3,3
Steven C Bailey,Attorney General,,REP,Kings,1304,0,15,15
Xavier Becerra,Attorney General,,DEM,Kings,1304,0,10,10
Eric Early,Attorney General,,REP,Kings,1304,0,11,11
Steve Poizner,Insurance Commissioner,,NON,Kings,1304,0,24,24
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1304,0,7,7
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1304,0,1,1
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1304,0,4,4
Gerald Plummer,U.S. Senate,,DEM,Kings,1304,0,0,0
Tom Palzer,U.S. Senate,,REP,Kings,1304,0,7,7
John Thompson Parker,U.S. Senate,,PF,Kings,1304,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1304,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1304,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1304,0,7,7
Arun K Bhumitra,U.S. Senate,,REP,Kings,1304,0,4,4
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1304,0,1,1
Patrick Little,U.S. Senate,,REP,Kings,1304,0,0,0
Tim Gildersleeve,U.S. Senate,,NON,Kings,1304,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1304,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1304,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1304,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1304,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1304,0,0,0
Erin Cruz,U.S. Senate,,REP,Kings,1304,0,5,5
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1304,0,0,0
Dianne Feinstein,U.S. Senate,,DEM,Kings,1304,0,10,10
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1304,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1304,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1304,0,2,2
Donnie O Turner,U.S. Senate,,DEM,Kings,1304,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1304,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1304,0,0,0
Jason M Hanania,U.S. Senate,,NON,Kings,1304,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1304,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1304,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1304,0,0,0
Kevin De Leon,U.S. Senate,,DEM,Kings,1304,0,4,4
Kevin Mottus,U.S. Senate,,REP,Kings,1304,0,0,0
David Moore,U.S. Senate,,NON,Kings,1304,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1304,0,3,3
Andy Vidak,State Senate,14,REP,Kings,1304,0,32,32
Ruben Macareno,State Senate,14,DEM,Kings,1304,0,3,3
Abigail Solis,State Senate,14,DEM,Kings,1304,0,3,3
Melissa Hurtado,State Senate,14,DEM,Kings,1304,0,4,4
Justin Mendes,State Assembly,32,REP,Kings,1304,0,31,31
Rudy Salas,State Assembly,32,DEM,Kings,1304,0,13,13
,Registered Voters,,,Kings,1305,,,648
,Ballots Cast,,,Kings,1305,0,181,181
Josh Jones,Governor,,GRN,Kings,1305,0,1,1
J Bribiesca,Governor,,DEM,Kings,1305,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1305,0,0,0
Peter Y Liu,Governor,,REP,Kings,1305,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1305,0,18,18
Yvonne Girard,Governor,,REP,Kings,1305,0,5,5
Robert Davidson Griffis,Governor,,DEM,Kings,1305,0,0,0
Shubham Goel,Governor,,NON,Kings,1305,0,0,0
Travis Allen,Governor,,REP,Kings,1305,0,56,56
Akinyemi Agbede,Governor,,DEM,Kings,1305,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1305,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1305,0,0,0
Desmond Silveira,Governor,,NON,Kings,1305,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1305,0,1,1
Zoltan Istvan,Governor,,LIB,Kings,1305,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1305,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1305,0,0,0
John Chiang,Governor,,DEM,Kings,1305,0,7,7
John H Cox,Governor,,REP,Kings,1305,0,76,76
Amanda Renteria,Governor,,DEM,Kings,1305,0,4,4
Delaine Eastin,Governor,,DEM,Kings,1305,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1305,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1305,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1305,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1305,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1305,0,10,10
"Robert C. Newman, II",Governor,,REP,Kings,1305,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1305,0,4,4
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1305,0,6,6
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1305,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1305,0,4,4
David Fennell,Lieutenant Governor,,REP,Kings,1305,0,22,22
Danny Thomas,Lieutenant Governor,,NON,Kings,1305,0,2,2
Cole Harris,Lieutenant Governor,,REP,Kings,1305,0,45,45
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1305,0,34,34
David R Hernandez,Lieutenant Governor,,REP,Kings,1305,0,24,24
Lydia Ortega,Lieutenant Governor,,REP,Kings,1305,0,25,25
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1305,0,0,0
Alex Padilla,Secretary of State,,DEM,Kings,1305,0,36,36
Gail K Lightfoot,Secretary of State,,LIB,Kings,1305,0,4,4
C T Weber,Secretary of State,,PF,Kings,1305,0,2,2
Erik Rydberg,Secretary of State,,GRN,Kings,1305,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1305,0,19,19
Michael Feinstein,Secretary of State,,GRN,Kings,1305,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1305,0,1,1
Mark P Meuser,Secretary of State,,REP,Kings,1305,0,112,112
Konstantinos Roditis,Controller,,REP,Kings,1305,0,116,116
Mary Lou Finley,Controller,,PF,Kings,1305,0,9,9
Betty T Yee,Controller,,DEM,Kings,1305,0,49,49
Vivek Viswanathan,Treasurer,,DEM,Kings,1305,0,10,10
Jack M Guerrero,Treasurer,,REP,Kings,1305,0,59,59
Kevin Akin,Treasurer,,PF,Kings,1305,0,3,3
Greg Conlon,Treasurer,,REP,Kings,1305,0,74,74
Fiona Ma,Treasurer,,DEM,Kings,1305,0,24,24
Dave Jones,Attorney General,,DEM,Kings,1305,0,12,12
Steven C Bailey,Attorney General,,REP,Kings,1305,0,92,92
Xavier Becerra,Attorney General,,DEM,Kings,1305,0,24,24
Eric Early,Attorney General,,REP,Kings,1305,0,45,45
Steve Poizner,Insurance Commissioner,,NON,Kings,1305,0,117,117
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1305,0,33,33
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1305,0,5,5
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1305,0,7,7
Gerald Plummer,U.S. Senate,,DEM,Kings,1305,0,1,1
Tom Palzer,U.S. Senate,,REP,Kings,1305,0,20,20
John Thompson Parker,U.S. Senate,,PF,Kings,1305,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1305,0,1,1
Herbert G Peters,U.S. Senate,,DEM,Kings,1305,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1305,0,26,26
Arun K Bhumitra,U.S. Senate,,REP,Kings,1305,0,26,26
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1305,0,4,4
Patrick Little,U.S. Senate,,REP,Kings,1305,0,0,0
Tim Gildersleeve,U.S. Senate,,NON,Kings,1305,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1305,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1305,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1305,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1305,0,1,1
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1305,0,5,5
Erin Cruz,U.S. Senate,,REP,Kings,1305,0,10,10
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1305,0,1,1
Dianne Feinstein,U.S. Senate,,DEM,Kings,1305,0,30,30
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1305,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1305,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1305,0,16,16
Donnie O Turner,U.S. Senate,,DEM,Kings,1305,0,1,1
Pat Harris,U.S. Senate,,DEM,Kings,1305,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1305,0,4,4
Jason M Hanania,U.S. Senate,,NON,Kings,1305,0,2,2
David Hildebrand,U.S. Senate,,DEM,Kings,1305,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1305,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1305,0,1,1
Kevin De Leon,U.S. Senate,,DEM,Kings,1305,0,5,5
Kevin Mottus,U.S. Senate,,REP,Kings,1305,0,4,4
David Moore,U.S. Senate,,NON,Kings,1305,0,1,1
Mario Nabliba,U.S. Senate,,REP,Kings,1305,0,6,6
Andy Vidak,State Senate,14,REP,Kings,1305,0,154,154
Ruben Macareno,State Senate,14,DEM,Kings,1305,0,1,1
Abigail Solis,State Senate,14,DEM,Kings,1305,0,7,7
Melissa Hurtado,State Senate,14,DEM,Kings,1305,0,16,16
Justin Mendes,State Assembly,32,REP,Kings,1305,0,139,139
Rudy Salas,State Assembly,32,DEM,Kings,1305,0,42,42
,Registered Voters,,,Kings,1306,,,28
,Ballots Cast,,,Kings,1306,0,10,10
Josh Jones,Governor,,GRN,Kings,1306,0,0,0
J Bribiesca,Governor,,DEM,Kings,1306,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1306,0,0,0
Peter Y Liu,Governor,,REP,Kings,1306,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1306,0,2,2
Yvonne Girard,Governor,,REP,Kings,1306,0,0,0
Robert Davidson Griffis,Governor,,DEM,Kings,1306,0,0,0
Shubham Goel,Governor,,NON,Kings,1306,0,0,0
Travis Allen,Governor,,REP,Kings,1306,0,0,0
Akinyemi Agbede,Governor,,DEM,Kings,1306,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1306,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1306,0,0,0
Desmond Silveira,Governor,,NON,Kings,1306,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1306,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1306,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1306,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1306,0,0,0
John Chiang,Governor,,DEM,Kings,1306,0,2,2
John H Cox,Governor,,REP,Kings,1306,0,3,3
Amanda Renteria,Governor,,DEM,Kings,1306,0,0,0
Delaine Eastin,Governor,,DEM,Kings,1306,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1306,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1306,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1306,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1306,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1306,0,3,3
"Robert C. Newman, II",Governor,,REP,Kings,1306,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1306,0,3,3
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1306,0,1,1
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1306,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1306,0,0,0
David Fennell,Lieutenant Governor,,REP,Kings,1306,0,1,1
Danny Thomas,Lieutenant Governor,,NON,Kings,1306,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1306,0,2,2
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1306,0,2,2
David R Hernandez,Lieutenant Governor,,REP,Kings,1306,0,0,0
Lydia Ortega,Lieutenant Governor,,REP,Kings,1306,0,0,0
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1306,0,0,0
Alex Padilla,Secretary of State,,DEM,Kings,1306,0,6,6
Gail K Lightfoot,Secretary of State,,LIB,Kings,1306,0,0,0
C T Weber,Secretary of State,,PF,Kings,1306,0,0,0
Erik Rydberg,Secretary of State,,GRN,Kings,1306,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1306,0,0,0
Michael Feinstein,Secretary of State,,GRN,Kings,1306,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1306,0,0,0
Mark P Meuser,Secretary of State,,REP,Kings,1306,0,3,3
Konstantinos Roditis,Controller,,REP,Kings,1306,0,4,4
Mary Lou Finley,Controller,,PF,Kings,1306,0,0,0
Betty T Yee,Controller,,DEM,Kings,1306,0,6,6
Vivek Viswanathan,Treasurer,,DEM,Kings,1306,0,1,1
Jack M Guerrero,Treasurer,,REP,Kings,1306,0,3,3
Kevin Akin,Treasurer,,PF,Kings,1306,0,0,0
Greg Conlon,Treasurer,,REP,Kings,1306,0,1,1
Fiona Ma,Treasurer,,DEM,Kings,1306,0,5,5
Dave Jones,Attorney General,,DEM,Kings,1306,0,3,3
Steven C Bailey,Attorney General,,REP,Kings,1306,0,3,3
Xavier Becerra,Attorney General,,DEM,Kings,1306,0,3,3
Eric Early,Attorney General,,REP,Kings,1306,0,1,1
Steve Poizner,Insurance Commissioner,,NON,Kings,1306,0,3,3
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1306,0,5,5
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1306,0,0,0
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1306,0,1,1
Gerald Plummer,U.S. Senate,,DEM,Kings,1306,0,0,0
Tom Palzer,U.S. Senate,,REP,Kings,1306,0,2,2
John Thompson Parker,U.S. Senate,,PF,Kings,1306,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1306,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1306,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1306,0,0,0
Arun K Bhumitra,U.S. Senate,,REP,Kings,1306,0,0,0
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1306,0,0,0
Patrick Little,U.S. Senate,,REP,Kings,1306,0,0,0
Tim Gildersleeve,U.S. Senate,,NON,Kings,1306,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1306,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1306,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1306,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1306,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1306,0,0,0
Erin Cruz,U.S. Senate,,REP,Kings,1306,0,0,0
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1306,0,0,0
Dianne Feinstein,U.S. Senate,,DEM,Kings,1306,0,6,6
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1306,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1306,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1306,0,0,0
Donnie O Turner,U.S. Senate,,DEM,Kings,1306,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1306,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1306,0,0,0
Jason M Hanania,U.S. Senate,,NON,Kings,1306,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1306,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1306,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1306,0,0,0
Kevin De Leon,U.S. Senate,,DEM,Kings,1306,0,1,1
Kevin Mottus,U.S. Senate,,REP,Kings,1306,0,1,1
David Moore,U.S. Senate,,NON,Kings,1306,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1306,0,0,0
Andy Vidak,State Senate,14,REP,Kings,1306,0,4,4
Ruben Macareno,State Senate,14,DEM,Kings,1306,0,0,0
Abigail Solis,State Senate,14,DEM,Kings,1306,0,3,3
Melissa Hurtado,State Senate,14,DEM,Kings,1306,0,2,2
Justin Mendes,State Assembly,32,REP,Kings,1306,0,4,4
Rudy Salas,State Assembly,32,DEM,Kings,1306,0,6,6
,Registered Voters,,,Kings,1307,,,306
,Ballots Cast,,,Kings,1307,0,56,56
Josh Jones,Governor,,GRN,Kings,1307,0,0,0
J Bribiesca,Governor,,DEM,Kings,1307,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1307,0,0,0
Peter Y Liu,Governor,,REP,Kings,1307,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1307,0,9,9
Yvonne Girard,Governor,,REP,Kings,1307,0,0,0
Robert Davidson Griffis,Governor,,DEM,Kings,1307,0,0,0
Shubham Goel,Governor,,NON,Kings,1307,0,0,0
Travis Allen,Governor,,REP,Kings,1307,0,17,17
Akinyemi Agbede,Governor,,DEM,Kings,1307,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1307,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1307,0,0,0
Desmond Silveira,Governor,,NON,Kings,1307,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1307,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1307,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1307,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1307,0,0,0
John Chiang,Governor,,DEM,Kings,1307,0,2,2
John H Cox,Governor,,REP,Kings,1307,0,21,21
Amanda Renteria,Governor,,DEM,Kings,1307,0,1,1
Delaine Eastin,Governor,,DEM,Kings,1307,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1307,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1307,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1307,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1307,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1307,0,5,5
"Robert C. Newman, II",Governor,,REP,Kings,1307,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1307,0,3,3
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1307,0,3,3
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1307,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1307,0,0,0
David Fennell,Lieutenant Governor,,REP,Kings,1307,0,4,4
Danny Thomas,Lieutenant Governor,,NON,Kings,1307,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1307,0,19,19
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1307,0,9,9
David R Hernandez,Lieutenant Governor,,REP,Kings,1307,0,5,5
Lydia Ortega,Lieutenant Governor,,REP,Kings,1307,0,6,6
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1307,0,0,0
Alex Padilla,Secretary of State,,DEM,Kings,1307,0,15,15
Gail K Lightfoot,Secretary of State,,LIB,Kings,1307,0,0,0
C T Weber,Secretary of State,,PF,Kings,1307,0,0,0
Erik Rydberg,Secretary of State,,GRN,Kings,1307,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1307,0,1,1
Michael Feinstein,Secretary of State,,GRN,Kings,1307,0,1,1
Ruben Major,Secretary of State,,DEM,Kings,1307,0,1,1
Mark P Meuser,Secretary of State,,REP,Kings,1307,0,34,34
Konstantinos Roditis,Controller,,REP,Kings,1307,0,29,29
Mary Lou Finley,Controller,,PF,Kings,1307,0,1,1
Betty T Yee,Controller,,DEM,Kings,1307,0,23,23
Vivek Viswanathan,Treasurer,,DEM,Kings,1307,0,4,4
Jack M Guerrero,Treasurer,,REP,Kings,1307,0,16,16
Kevin Akin,Treasurer,,PF,Kings,1307,0,0,0
Greg Conlon,Treasurer,,REP,Kings,1307,0,20,20
Fiona Ma,Treasurer,,DEM,Kings,1307,0,10,10
Dave Jones,Attorney General,,DEM,Kings,1307,0,3,3
Steven C Bailey,Attorney General,,REP,Kings,1307,0,16,16
Xavier Becerra,Attorney General,,DEM,Kings,1307,0,13,13
Eric Early,Attorney General,,REP,Kings,1307,0,20,20
Steve Poizner,Insurance Commissioner,,NON,Kings,1307,0,25,25
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1307,0,12,12
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1307,0,1,1
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1307,0,4,4
Gerald Plummer,U.S. Senate,,DEM,Kings,1307,0,0,0
Tom Palzer,U.S. Senate,,REP,Kings,1307,0,7,7
John Thompson Parker,U.S. Senate,,PF,Kings,1307,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1307,0,1,1
Herbert G Peters,U.S. Senate,,DEM,Kings,1307,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1307,0,7,7
Arun K Bhumitra,U.S. Senate,,REP,Kings,1307,0,3,3
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1307,0,0,0
Patrick Little,U.S. Senate,,REP,Kings,1307,0,0,0
Tim Gildersleeve,U.S. Senate,,NON,Kings,1307,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1307,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1307,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1307,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1307,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1307,0,0,0
